IMUMeasurement(frame=3897, timestamp=2.338726, accelerometer=Vector3D(x=0.113417, y=0.091282, z=9.855846), gyroscope=Vector3D(x=0.030817, y=0.009677, z=0.000089), compass=6.282840)
IMUMeasurement(frame=4309, timestamp=16.072060, accelerometer=Vector3D(x=1.046257, y=0.019584, z=9.801646), gyroscope=Vector3D(x=-0.000093, y=-0.002108, z=0.003183), compass=4.713877)
IMUMeasurement(frame=4319, timestamp=16.405393, accelerometer=Vector3D(x=0.819916, y=-0.000624, z=9.806771), gyroscope=Vector3D(x=0.000048, y=-0.001716, z=0.002979), compass=4.715096)
IMUMeasurement(frame=4329, timestamp=16.738726, accelerometer=Vector3D(x=0.625234, y=0.019249, z=9.808309), gyroscope=Vector3D(x=0.000139, y=-0.001207, z=0.002250), compass=4.716092)
IMUMeasurement(frame=4339, timestamp=17.072060, accelerometer=Vector3D(x=0.481987, y=0.009133, z=9.808603), gyroscope=Vector3D(x=0.000173, y=-0.000812, z=0.001328), compass=4.716809)
IMUMeasurement(frame=4349, timestamp=17.405393, accelerometer=Vector3D(x=0.369578, y=-0.020860, z=9.808405), gyroscope=Vector3D(x=0.000161, y=-0.000600, z=0.000822), compass=4.717294)
IMUMeasurement(frame=4359, timestamp=17.738726, accelerometer=Vector3D(x=0.747945, y=-0.103321, z=9.831439), gyroscope=Vector3D(x=0.000439, y=0.000423, z=-0.002141), compass=4.717483)
IMUMeasurement(frame=4369, timestamp=18.072060, accelerometer=Vector3D(x=1.518355, y=-0.076281, z=9.800948), gyroscope=Vector3D(x=0.000426, y=0.004471, z=-0.006469), compass=4.715923)
IMUMeasurement(frame=4379, timestamp=18.405393, accelerometer=Vector3D(x=1.575048, y=-0.074460, z=9.780265), gyroscope=Vector3D(x=0.000260, y=0.002359, z=-0.005902), compass=4.713867)
IMUMeasurement(frame=4389, timestamp=18.738726, accelerometer=Vector3D(x=1.257909, y=-0.052492, z=9.780205), gyroscope=Vector3D(x=-0.000130, y=-0.000645, z=-0.002540), compass=4.712557)
IMUMeasurement(frame=4399, timestamp=19.072060, accelerometer=Vector3D(x=0.721106, y=0.018772, z=9.797640), gyroscope=Vector3D(x=-0.000413, y=-0.003079, z=0.001071), compass=4.712440)
IMUMeasurement(frame=4409, timestamp=19.405393, accelerometer=Vector3D(x=0.401067, y=0.070165, z=9.813124), gyroscope=Vector3D(x=-0.000489, y=-0.002825, z=0.004493), compass=4.713538)
IMUMeasurement(frame=4419, timestamp=19.738726, accelerometer=Vector3D(x=0.234285, y=0.081599, z=9.815766), gyroscope=Vector3D(x=-0.000344, y=-0.001490, z=0.006269), compass=4.715498)
IMUMeasurement(frame=4429, timestamp=20.072060, accelerometer=Vector3D(x=0.161274, y=0.072466, z=9.811930), gyroscope=Vector3D(x=-0.000103, y=-0.000564, z=0.006300), compass=4.717718)
IMUMeasurement(frame=4439, timestamp=20.405393, accelerometer=Vector3D(x=-22.600906, y=0.075993, z=8.971501), gyroscope=Vector3D(x=0.000675, y=-0.061496, z=0.005108), compass=4.719612)
IMUMeasurement(frame=4449, timestamp=20.738726, accelerometer=Vector3D(x=-1.633039, y=0.170525, z=10.146330), gyroscope=Vector3D(x=-0.000464, y=0.012848, z=0.013190), compass=4.722974)
IMUMeasurement(frame=4459, timestamp=21.072060, accelerometer=Vector3D(x=-5.458568, y=0.073831, z=9.482417), gyroscope=Vector3D(x=0.000055, y=0.015635, z=0.009765), compass=4.727039)
IMUMeasurement(frame=4469, timestamp=21.405393, accelerometer=Vector3D(x=-2.514342, y=0.096283, z=10.180577), gyroscope=Vector3D(x=0.000292, y=-0.008499, z=0.008305), compass=4.729843)
IMUMeasurement(frame=4479, timestamp=21.738727, accelerometer=Vector3D(x=-0.985610, y=-0.008373, z=9.827487), gyroscope=Vector3D(x=0.000015, y=0.021798, z=0.006097), compass=4.732438)
IMUMeasurement(frame=4489, timestamp=22.072060, accelerometer=Vector3D(x=-0.483343, y=-0.008110, z=9.742508), gyroscope=Vector3D(x=0.000108, y=0.012311, z=0.001646), compass=4.733708)
IMUMeasurement(frame=4499, timestamp=22.405393, accelerometer=Vector3D(x=-0.096245, y=-0.026903, z=9.784005), gyroscope=Vector3D(x=0.000113, y=0.004224, z=-0.001296), compass=4.733696)
IMUMeasurement(frame=4509, timestamp=22.738727, accelerometer=Vector3D(x=0.056111, y=-0.030521, z=9.806870), gyroscope=Vector3D(x=0.000038, y=0.002293, z=-0.002446), compass=4.733032)
IMUMeasurement(frame=4519, timestamp=23.072060, accelerometer=Vector3D(x=0.060364, y=-0.060859, z=9.809185), gyroscope=Vector3D(x=0.000060, y=0.002098, z=-0.003870), compass=4.732012)
IMUMeasurement(frame=4529, timestamp=23.405393, accelerometer=Vector3D(x=0.032288, y=-0.070752, z=9.809505), gyroscope=Vector3D(x=0.000116, y=0.002063, z=-0.006367), compass=4.730306)
IMUMeasurement(frame=4539, timestamp=23.738727, accelerometer=Vector3D(x=-0.079450, y=-0.109784, z=9.812328), gyroscope=Vector3D(x=0.000179, y=0.001783, z=-0.009749), compass=4.727561)
IMUMeasurement(frame=4549, timestamp=24.072060, accelerometer=Vector3D(x=-0.009717, y=-0.101769, z=9.814256), gyroscope=Vector3D(x=0.000149, y=0.002383, z=-0.012451), compass=4.723757)
IMUMeasurement(frame=4559, timestamp=24.405393, accelerometer=Vector3D(x=0.036429, y=-0.102847, z=9.810704), gyroscope=Vector3D(x=0.000079, y=0.002675, z=-0.013906), compass=4.719260)
IMUMeasurement(frame=4569, timestamp=24.738727, accelerometer=Vector3D(x=-0.022603, y=-0.092981, z=9.808242), gyroscope=Vector3D(x=-0.000008, y=0.002396, z=-0.013914), compass=4.714528)
IMUMeasurement(frame=4579, timestamp=25.072060, accelerometer=Vector3D(x=-0.896419, y=-0.075105, z=10.166552), gyroscope=Vector3D(x=-0.000137, y=-0.017980, z=-0.012251), compass=4.710105)
IMUMeasurement(frame=4589, timestamp=25.405393, accelerometer=Vector3D(x=-0.305789, y=-0.044285, z=9.870705), gyroscope=Vector3D(x=-0.000134, y=0.014814, z=-0.010741), compass=4.706249)
IMUMeasurement(frame=4599, timestamp=25.738727, accelerometer=Vector3D(x=-0.044046, y=-0.022488, z=9.770622), gyroscope=Vector3D(x=-0.000032, y=0.012532, z=-0.009045), compass=4.702960)
IMUMeasurement(frame=4609, timestamp=26.072060, accelerometer=Vector3D(x=0.024996, y=-0.051713, z=9.785804), gyroscope=Vector3D(x=0.000023, y=0.006226, z=-0.007556), compass=4.700222)
IMUMeasurement(frame=4619, timestamp=26.405393, accelerometer=Vector3D(x=0.030003, y=-0.021614, z=9.806871), gyroscope=Vector3D(x=0.000055, y=0.004213, z=-0.006781), compass=4.697858)
IMUMeasurement(frame=4629, timestamp=26.738727, accelerometer=Vector3D(x=-4.245223, y=-0.022980, z=9.382010), gyroscope=Vector3D(x=-0.000112, y=-0.005538, z=-0.006287), compass=4.695666)
IMUMeasurement(frame=4639, timestamp=27.072060, accelerometer=Vector3D(x=-0.924866, y=-0.008735, z=9.888915), gyroscope=Vector3D(x=-0.000175, y=-0.004320, z=-0.004545), compass=4.693860)
IMUMeasurement(frame=4649, timestamp=27.405394, accelerometer=Vector3D(x=-1.618868, y=0.017353, z=9.805193), gyroscope=Vector3D(x=-0.000128, y=0.001071, z=-0.001729), compass=4.692848)
IMUMeasurement(frame=4659, timestamp=27.738727, accelerometer=Vector3D(x=-1.835350, y=0.033508, z=9.777956), gyroscope=Vector3D(x=-0.000116, y=0.000859, z=0.001301), compass=4.692819)
IMUMeasurement(frame=4669, timestamp=28.072060, accelerometer=Vector3D(x=-1.922225, y=0.034207, z=9.771728), gyroscope=Vector3D(x=-0.000081, y=-0.000014, z=0.004390), compass=4.693856)
IMUMeasurement(frame=4679, timestamp=28.405394, accelerometer=Vector3D(x=-0.336347, y=0.044582, z=9.845500), gyroscope=Vector3D(x=0.000005, y=0.002424, z=0.007250), compass=4.695920)
IMUMeasurement(frame=4689, timestamp=28.738727, accelerometer=Vector3D(x=-0.152627, y=-0.032017, z=9.809095), gyroscope=Vector3D(x=0.000145, y=0.003214, z=0.007810), compass=4.698629)
IMUMeasurement(frame=4699, timestamp=29.072060, accelerometer=Vector3D(x=0.205996, y=-0.028121, z=9.800562), gyroscope=Vector3D(x=0.000285, y=0.002522, z=0.001187), compass=4.700169)
IMUMeasurement(frame=4709, timestamp=29.405394, accelerometer=Vector3D(x=0.283325, y=-0.268276, z=9.825919), gyroscope=Vector3D(x=0.000821, y=-0.000051, z=-0.015726), compass=4.698887)
IMUMeasurement(frame=4719, timestamp=29.738727, accelerometer=Vector3D(x=0.227246, y=-1.673103, z=9.805063), gyroscope=Vector3D(x=0.003362, y=-0.000403, z=-0.090176), compass=4.683098)
IMUMeasurement(frame=4729, timestamp=30.072060, accelerometer=Vector3D(x=0.393369, y=-1.044950, z=9.808546), gyroscope=Vector3D(x=0.002295, y=0.001063, z=-0.175617), compass=4.635146)
IMUMeasurement(frame=4739, timestamp=30.405394, accelerometer=Vector3D(x=0.651211, y=-0.886630, z=9.806408), gyroscope=Vector3D(x=0.001578, y=0.001298, z=-0.254073), compass=4.559778)
IMUMeasurement(frame=4749, timestamp=30.738727, accelerometer=Vector3D(x=0.844782, y=-0.814153, z=9.804128), gyroscope=Vector3D(x=0.001076, y=0.001432, z=-0.307918), compass=4.461921)
IMUMeasurement(frame=4759, timestamp=31.072060, accelerometer=Vector3D(x=0.908903, y=-1.495277, z=9.793674), gyroscope=Vector3D(x=0.001234, y=0.000820, z=-0.329258), compass=4.353636)
IMUMeasurement(frame=4769, timestamp=31.405394, accelerometer=Vector3D(x=0.893363, y=-2.060591, z=9.789091), gyroscope=Vector3D(x=0.002130, y=-0.000496, z=-0.356909), compass=4.237910)
IMUMeasurement(frame=4779, timestamp=31.738727, accelerometer=Vector3D(x=0.873365, y=-1.823824, z=9.797769), gyroscope=Vector3D(x=0.002338, y=-0.001403, z=-0.417068), compass=4.105675)
IMUMeasurement(frame=4789, timestamp=32.072060, accelerometer=Vector3D(x=0.541282, y=-1.573927, z=9.798880), gyroscope=Vector3D(x=0.001975, y=-0.002606, z=-0.499292), compass=3.948855)
IMUMeasurement(frame=4799, timestamp=32.405394, accelerometer=Vector3D(x=-0.265272, y=-1.922317, z=9.735514), gyroscope=Vector3D(x=-0.005412, y=-0.004012, z=-0.515090), compass=3.774100)
IMUMeasurement(frame=4809, timestamp=32.738727, accelerometer=Vector3D(x=0.086706, y=-0.409896, z=9.831416), gyroscope=Vector3D(x=-0.007833, y=0.001982, z=-0.460315), compass=3.607415)
IMUMeasurement(frame=4819, timestamp=33.072060, accelerometer=Vector3D(x=-0.001763, y=-1.728566, z=9.801129), gyroscope=Vector3D(x=-0.005759, y=0.001748, z=-0.388210), compass=3.465983)
IMUMeasurement(frame=4829, timestamp=33.405394, accelerometer=Vector3D(x=-0.042858, y=-1.424515, z=9.801687), gyroscope=Vector3D(x=-0.005529, y=0.001885, z=-0.327596), compass=3.348216)
IMUMeasurement(frame=4839, timestamp=33.738727, accelerometer=Vector3D(x=-0.079333, y=-1.196301, z=9.806405), gyroscope=Vector3D(x=-0.005139, y=0.001858, z=-0.296694), compass=3.243726)
IMUMeasurement(frame=4849, timestamp=34.072061, accelerometer=Vector3D(x=0.014779, y=0.308297, z=9.812901), gyroscope=Vector3D(x=-0.004612, y=0.006328, z=-0.178962), compass=3.162358)
IMUMeasurement(frame=4859, timestamp=34.405394, accelerometer=Vector3D(x=0.064086, y=0.879471, z=9.810433), gyroscope=Vector3D(x=-0.004476, y=0.007679, z=0.002559), compass=3.137551)
IMUMeasurement(frame=4869, timestamp=34.738727, accelerometer=Vector3D(x=0.075498, y=-0.188518, z=9.810014), gyroscope=Vector3D(x=-0.004527, y=0.001586, z=0.048481), compass=3.152467)
IMUMeasurement(frame=4879, timestamp=35.072061, accelerometer=Vector3D(x=0.071070, y=-0.296012, z=9.810099), gyroscope=Vector3D(x=-0.004493, y=-0.001849, z=0.009943), compass=3.163058)
IMUMeasurement(frame=4889, timestamp=35.405394, accelerometer=Vector3D(x=0.051652, y=-0.272228, z=9.809889), gyroscope=Vector3D(x=-0.004489, y=-0.001973, z=-0.012054), compass=3.162801)
IMUMeasurement(frame=4899, timestamp=35.738727, accelerometer=Vector3D(x=0.063655, y=-0.210134, z=9.810069), gyroscope=Vector3D(x=-0.004500, y=-0.000711, z=-0.010943), compass=3.159484)
IMUMeasurement(frame=4909, timestamp=36.072061, accelerometer=Vector3D(x=0.067536, y=0.010223, z=9.809306), gyroscope=Vector3D(x=-0.004505, y=0.000041, z=-0.004001), compass=3.157908)
IMUMeasurement(frame=4919, timestamp=36.405394, accelerometer=Vector3D(x=0.055431, y=-0.119267, z=9.809682), gyroscope=Vector3D(x=-0.004500, y=-0.000117, z=-0.002002), compass=3.157710)
IMUMeasurement(frame=4929, timestamp=36.738727, accelerometer=Vector3D(x=0.066865, y=-0.030345, z=9.809777), gyroscope=Vector3D(x=-0.004498, y=-0.000158, z=-0.001947), compass=3.157558)
IMUMeasurement(frame=4939, timestamp=37.072061, accelerometer=Vector3D(x=0.055420, y=-0.120739, z=9.809842), gyroscope=Vector3D(x=-0.004495, y=-0.000364, z=-0.002106), compass=3.157558)
IMUMeasurement(frame=4949, timestamp=37.405394, accelerometer=Vector3D(x=0.076159, y=-0.076915, z=9.809720), gyroscope=Vector3D(x=-0.004496, y=-0.000262, z=-0.002972), compass=3.157122)
IMUMeasurement(frame=4959, timestamp=37.738727, accelerometer=Vector3D(x=0.075688, y=-0.112071, z=9.809563), gyroscope=Vector3D(x=-0.004495, y=-0.000328, z=-0.003973), compass=3.156464)
IMUMeasurement(frame=4969, timestamp=38.072061, accelerometer=Vector3D(x=0.066255, y=-0.077532, z=9.809464), gyroscope=Vector3D(x=-0.004497, y=-0.000189, z=-0.003085), compass=3.155745)
IMUMeasurement(frame=4979, timestamp=38.405394, accelerometer=Vector3D(x=0.047180, y=-0.012850, z=9.810361), gyroscope=Vector3D(x=-0.004498, y=-0.000154, z=-0.002926), compass=3.155160)
IMUMeasurement(frame=4989, timestamp=38.738727, accelerometer=Vector3D(x=0.066398, y=-0.073025, z=9.809777), gyroscope=Vector3D(x=-0.004497, y=-0.000185, z=-0.002438), compass=3.154649)
IMUMeasurement(frame=4999, timestamp=39.072061, accelerometer=Vector3D(x=0.057023, y=-0.026024, z=9.809834), gyroscope=Vector3D(x=-0.004498, y=-0.000135, z=-0.002444), compass=3.154170)
IMUMeasurement(frame=5009, timestamp=39.405394, accelerometer=Vector3D(x=0.056510, y=-0.069094, z=9.809992), gyroscope=Vector3D(x=-0.004497, y=-0.000189, z=-0.002163), compass=3.153761)
IMUMeasurement(frame=5019, timestamp=39.738727, accelerometer=Vector3D(x=-0.626928, y=1.370948, z=10.348351), gyroscope=Vector3D(x=-0.030932, y=0.001928, z=0.021159), compass=3.154372)
IMUMeasurement(frame=5029, timestamp=40.072061, accelerometer=Vector3D(x=2.195782, y=-0.316165, z=9.901133), gyroscope=Vector3D(x=0.020316, y=-0.000277, z=0.033863), compass=3.170057)
IMUMeasurement(frame=5039, timestamp=40.405394, accelerometer=Vector3D(x=0.675413, y=-0.165658, z=10.342515), gyroscope=Vector3D(x=-0.012230, y=-0.000579, z=0.031793), compass=3.178110)
IMUMeasurement(frame=5049, timestamp=40.738728, accelerometer=Vector3D(x=2.345867, y=-1.108103, z=9.826359), gyroscope=Vector3D(x=0.027721, y=-0.000483, z=0.024080), compass=3.189514)
IMUMeasurement(frame=5059, timestamp=41.072061, accelerometer=Vector3D(x=0.957902, y=-0.241698, z=9.675384), gyroscope=Vector3D(x=0.009507, y=-0.000154, z=0.016390), compass=3.197634)
IMUMeasurement(frame=5069, timestamp=41.405394, accelerometer=Vector3D(x=0.183039, y=-0.147417, z=9.773483), gyroscope=Vector3D(x=-0.005304, y=-0.000659, z=-0.003841), compass=3.199149)
IMUMeasurement(frame=5079, timestamp=41.738728, accelerometer=Vector3D(x=0.029253, y=-0.069314, z=9.830472), gyroscope=Vector3D(x=-0.004599, y=-0.000243, z=-0.010590), compass=3.196510)
IMUMeasurement(frame=5089, timestamp=42.072061, accelerometer=Vector3D(x=0.012464, y=-0.045631, z=9.824764), gyroscope=Vector3D(x=-0.000856, y=0.000036, z=-0.012827), compass=3.192516)
IMUMeasurement(frame=5099, timestamp=42.405394, accelerometer=Vector3D(x=0.042978, y=-0.041994, z=9.812565), gyroscope=Vector3D(x=0.000498, y=0.000067, z=-0.013319), compass=3.188134)
IMUMeasurement(frame=5109, timestamp=42.738728, accelerometer=Vector3D(x=0.064267, y=-0.052242, z=9.807755), gyroscope=Vector3D(x=0.000346, y=-0.000014, z=-0.014268), compass=3.183547)
IMUMeasurement(frame=5119, timestamp=43.072061, accelerometer=Vector3D(x=-20.523975, y=0.174675, z=9.219889), gyroscope=Vector3D(x=-0.058922, y=-0.001769, z=-0.000445), compass=3.179872)
IMUMeasurement(frame=5129, timestamp=43.405394, accelerometer=Vector3D(x=-0.180299, y=0.001671, z=9.974656), gyroscope=Vector3D(x=0.015713, y=0.000643, z=-0.000005), compass=3.179870)
IMUMeasurement(frame=5139, timestamp=43.738728, accelerometer=Vector3D(x=0.092049, y=-0.000272, z=9.743969), gyroscope=Vector3D(x=0.016027, y=0.000532, z=-0.000002), compass=3.179872)
IMUMeasurement(frame=5149, timestamp=44.072061, accelerometer=Vector3D(x=0.131592, y=0.000996, z=9.756083), gyroscope=Vector3D(x=0.003425, y=0.000086, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5159, timestamp=44.405394, accelerometer=Vector3D(x=0.072397, y=0.000735, z=9.800364), gyroscope=Vector3D(x=-0.001460, y=-0.000059, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5169, timestamp=44.738728, accelerometer=Vector3D(x=0.047584, y=0.000267, z=9.815359), gyroscope=Vector3D(x=-0.001143, y=-0.000036, z=-0.000000), compass=3.179872)
IMUMeasurement(frame=5179, timestamp=45.072061, accelerometer=Vector3D(x=0.055610, y=-0.000095, z=9.813593), gyroscope=Vector3D(x=-0.000182, y=-0.000003, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5189, timestamp=45.405394, accelerometer=Vector3D(x=0.055589, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000128, y=0.000005, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5199, timestamp=45.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000080, y=0.000002, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5209, timestamp=46.072061, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000008, y=-0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5219, timestamp=46.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000011, y=-0.000001, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5229, timestamp=46.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000006, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5239, timestamp=47.072061, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=-0.000000), compass=3.179870)
